package, benchmark, threads, input-size, branch-instructions, branch-miss-percentage, L3-cache-misses, L3-cache-miss-percentage, L3-cache-references, cpu-cycles, total-instructions, IPC, cpu-clock, page-faults, L1-data-cache-loads, L1-instruction-cache-load-misses , LLC-load-misses, Exe-time, Speedup,u1,u2
parsec,blackscholes,1,simsmall,428265796,198.899,16285493,3.8,15387270,16.866,91234588,4727773715,2139432185,0.45,2153.19,136724,1058668514,44866265,14485577,0.148,1
parsec,blackscholes,2,simsmall,418397387,198.893,15948253,3.81,14815140,16.628,89098640,4665406137,2188220339,0.47,2103.63,136530,1078294422,44667123,14541763,0.089,1.662921348
parsec,blackscholes,3,simsmall,420984136,202.392,16255475,3.86,14584869,16.175,90171632,4566157301,2072892694,0.45,2080.05,136473,1030287573,47111512,14933908,0.074,2
parsec,blackscholes,4,simsmall,431481760,202.808,16644410,3.86,15079333,16.209,93029703,4673925564,2137164862,0.46,2127.54,136502,1057843174,44885912,14287219,0.06,2.466666667
parsec,blackscholes,5,simsmall,459047382,210.73,16645096,3.63,15412321,16.975,90793491,4807845856,2219508055,0.46,2178.37,136257,1116083840,47142841,15382672,0.051,2.901960784
parsec,blackscholes,6,simsmall,444723395,208.948,16255119,3.66,15864326,17.072,92928070,4691446680,2195455543,0.47,2128.39,136795,1078603347,44899483,14280741,0.055,2.690909091
parsec,blackscholes,7,simsmall,455338524,216.457,16433990,3.61,15339506,16.756,91546014,4624125016,2088913139,0.45,2103.6,136532,1050741517,43573508,14135902,0.048,3.083333333
parsec,blackscholes,8,simsmall,418620035,200.173,15928258,3.8,14028621,15.903,88214916,4569231076,2055015848,0.45,2091.29,136723,1014918406,45464162,14314004,0.05,2.96
parsec,blackscholes,9,simsmall,441662970,204.151,16267979,3.68,14816587,16.515,89718291,4727619379,2091507055,0.44,2163.42,136453,1056876836,44657564,14304213,0.042,3.523809524
parsec,blackscholes,10,simsmall,427875087,212.28,15766529,3.68,13658926,15.543,87878168,4433389246,2183794117,0.49,2015.62,136488,1061834595,44020912,13076815,0.048,3.083333333
parsec,blackscholes,11,simsmall,418247421,205.673,16039647,3.83,14220258,16.253,87493389,4451505880,2040920629,0.46,2033.56,136715,1021945369,46676724,14335653,0.047,3.14893617
parsec,blackscholes,12,simsmall,420973771,202.905,16316169,3.88,15059120,16.355,92075831,4570657500,2110508464,0.46,2074.74,136464,1049048333,45091855,14928094,0.048,3.083333333
parsec,blackscholes,13,simsmall,411833132,205.457,16240839,3.94,14552461,16.281,89382446,4453354673,2129729593,0.48,2004.47,136341,1042752085,44166750,14103202,0.043,3.441860465
parsec,blackscholes,14,simsmall,427649078,232.948,15693706,3.67,10503795,12.593,83410791,4150569463,2096360098,0.51,1835.81,136552,1056425831,39656032,10495946,0.043,3.441860465
parsec,blackscholes,15,simsmall,440477487,229.147,15846667,3.6,12210300,14.457,84459878,4342866583,2101836045,0.48,1922.25,136794,1043060369,39144311,10799791,0.033,4.484848485
parsec,blackscholes,16,simsmall,466287165,245.544,16072766,3.45,10580621,12.548,84318124,4297455127,2188359360,0.51,1898.99,136345,1095644871,36032349,10822132,0.035,4.228571429
parsec,blackscholes,18,simsmall,435972577,226.304,16015127,3.67,11566331,13.626,84886995,4370356657,2096405381,0.48,1926.49,136592,1046825825,40264139,10621485,0.03,4.933333333
parsec,blackscholes,19,simsmall,429500051,202.181,16312966,3.8,15429493,16.139,95605458,4708605630,2135172593,0.45,2124.33,136516,1054010155,44777726,14421261,0.042,3.523809524
parsec,blackscholes,20,simsmall,423404873,197.67,16142685,3.81,14911883,16.569,89997294,4740876257,2118103415,0.45,2141.98,136515,1039053281,46913708,15350721,0.049,3.020408163
parsec,blackscholes,21,simsmall,426397857,203.868,16199511,3.8,14704400,16.279,90326954,4649269091,2088404781,0.45,2091.54,136544,1046859256,43987043,13729292,0.043,3.441860465
parsec,blackscholes,22,simsmall,418009029,200.761,16160563,3.87,14217474,15.855,89673239,4566289362,2010928974,0.44,2082.12,136597,1024024293,47240434,14802683,0.038,3.894736842
parsec,blackscholes,23,simsmall,441732436,207.165,16546349,3.75,14487634,16.312,88814459,4673750536,2170676195,0.46,2132.27,136608,1062566620,45136044,15238918,0.042,3.523809524
parsec,blackscholes,24,simsmall,487101089,222.581,15784569,3.24,14737295,15.943,92438349,4797651513,2163464484,0.45,2188.42,136549,1124561326,44942677,13853562,0.046,3.217391304
parsec,blackscholes,25,simsmall,417396472,202.415,16636990,3.99,14778650,16.542,89341950,4568394003,2197103463,0.48,2062.08,136631,1055697660,44263155,14329868,0.044,3.363636364
parsec,blackscholes,26,simsmall,423840470,202.356,15695755,3.7,14944329,16.154,92513318,4582478893,1976207012,0.43,2094.53,136624,1011587726,45189758,13926057,0.044,3.363636364
parsec,blackscholes,27,simsmall,425086160,207.004,16497295,3.88,14910289,16.752,89005641,4535807358,2117153406,0.47,2053.52,136597,1045998912,46489736,14577256,0.042,3.523809524
parsec,blackscholes,28,simsmall,427988597,201.864,16233402,3.79,15740676,16.608,94778647,4690317858,2137343456,0.46,2120.18,136354,1060245125,44498299,14266755,0.039,3.794871795
parsec,blackscholes,29,simsmall,408492922,199.992,16331965,4,14875087,16.973,87640764,4507361118,2165022981,0.48,2042.55,136414,1039902702,46380549,15837107,0.043,3.441860465
parsec,blackscholes,30,simsmall,424990860,201.084,16591329,3.9,15549650,16.989,91529297,4665999235,2191879526,0.47,2113.5,136862,1065183953,45773659,15286858,0.042,3.523809524
parsec,blackscholes,31,simsmall,414477651,203.453,16669544,4.02,15865637,17.193,92279699,4472637649,2200969701,0.49,2037.22,136843,1060306120,43665869,14725879,0.051,2.901960784
parsec,blackscholes,32,simsmall,424704094,202.201,16641251,3.92,14932868,16.784,88968834,4626054982,2192828805,0.47,2100.4,136565,1048683736,45197444,15283282,0.041,3.609756098
parsec,blackscholes,33,simsmall,418533116,201.011,15759078,3.77,13844271,15.388,89967212,4609136586,2017204852,0.44,2082.14,136568,1034227750,44241745,13629883,0.041,3.609756098
parsec,blackscholes,34,simsmall,421871835,200.765,16962322,4.02,14811251,16.816,88079467,4640416100,2203090563,0.47,2101.32,136164,1053719737,45687733,15225696,0.036,4.111111111
parsec,blackscholes,35,simsmall,436465525,213.07,16659048,3.82,14049029,16.505,85119478,4538864504,2080061181,0.46,2048.46,136207,1044860849,46900780,15000179,0.039,3.794871795
parsec,blackscholes,36,simsmall,448326968,245.039,15468968,3.45,11463657,14.681,78084293,4123645387,2075867781,0.5,1829.62,136628,1043232498,37751717,12041344,0.024,6.166666667
parsec,blackscholes,37,simsmall,434398747,226.428,16365259,3.77,11157750,14.423,77360358,4317226244,2250750667,0.52,1918.48,136561,1107806894,38377319,12036585,0.039,3.794871795
parsec,blackscholes,38,simsmall,425161737,222.847,16409270,3.86,11828047,13.956,84749831,4304700978,2250469385,0.52,1907.87,136523,1088961331,35283674,10655693,0.03,4.933333333
parsec,blackscholes,39,simsmall,411618778,220.054,15898736,3.86,13871670,17.428,79592562,4198544771,2186035487,0.52,1870.53,136707,1058910558,38811657,14337731,0.024,6.166666667
parsec,blackscholes,40,simsmall,440809514,204.503,16248647,3.69,15927835,16.944,94000707,4757270959,2161655910,0.45,2155.51,136637,1081156070,42162901,14067881,0.044,3.363636364
parsec,blackscholes,64,simsmall,419896511,201.628,16854067,4.01,15345515,17.072,89885612,4602830787,2172548634,0.47,2082.53,136609,1037535219,45543624,15082456,0.047,3.14893617
parsec,blackscholes,128,simsmall,419140851,197.949,16422702,3.92,14428720,15.966,90374008,4676753715,2145671078,0.46,2117.42,136771,1067594779,45167850,14567682,0.053,2.79245283
parsec,blackscholes,1,simmedium,539711851,209.422,17447814,3.23,15335390,15.511,98869411,5692869134,2990501638,0.53,2577.14,136423,1363116874,45870999,14506732,0.597,1
parsec,blackscholes,2,simmedium,533739746,210.337,17406415,3.26,15434895,16.209,95225897,5610230246,3051332557,0.54,2537.55,136725,1367795267,46649229,15296706,0.341,1.750733138
parsec,blackscholes,3,simmedium,543302266,212.631,17652529,3.25,14573118,15.264,95474199,5567836316,2964501889,0.53,2555.14,136683,1366278421,46790767,14337115,0.274,2.178832117
parsec,blackscholes,4,simmedium,539195109,215.203,17168513,3.18,14216926,15.138,93916123,5468190323,3039423435,0.56,2505.52,136664,1383811023,43673671,14066223,0.219,2.726027397
parsec,blackscholes,5,simmedium,533760514,213.801,17131528,3.21,15343886,15.716,97630842,5488587325,3013725529,0.55,2496.53,137000,1371362731,46370795,14913197,0.216,2.763888889
parsec,blackscholes,6,simmedium,534118733,211.9,17951818,3.36,14942644,15.015,99520825,5529085320,3000679604,0.54,2520.61,137034,1372265238,47865732,15197344,0.198,3.015151515
parsec,blackscholes,7,simmedium,543376060,212.795,17568597,3.23,15544148,15.769,98572419,5630431333,2929032744,0.52,2553.51,136713,1347809870,46843578,14589188,0.177,3.372881356
parsec,blackscholes,8,simmedium,575073214,220.071,17891743,3.11,14774345,15.386,96022907,5733754351,3108656662,0.54,2613.13,136642,1429724727,45496792,14782790,0.156,3.826923077
parsec,blackscholes,9,simmedium,567307109,218.236,17605718,3.1,16000519,16.111,99312256,5688838504,3056096975,0.54,2599.51,137197,1400412135,46868619,14516352,0.155,3.851612903
parsec,blackscholes,10,simmedium,535405665,207.903,17687247,3.3,15324964,15.913,96306096,5632856263,2886624489,0.51,2575.27,136733,1334786626,47050419,15432639,0.169,3.532544379
parsec,blackscholes,11,simmedium,549166240,215.966,17297920,3.15,15503828,16.367,94725683,5609980364,3013817583,0.54,2542.83,136809,1367040049,47207863,14604550,0.149,4.006711409
parsec,blackscholes,12,simmedium,543798345,213.088,17869708,3.29,14897904,15.256,97655188,5664804706,2971612808,0.52,2551.99,136799,1351679267,47215057,14327870,0.166,3.596385542
parsec,blackscholes,13,simmedium,544046705,237.273,16769347,3.08,11270088,13.029,86499657,5217948640,2962930313,0.57,2292.92,136747,1356004106,39008055,11538686,0.116,5.146551724
